DATE,HPCP,STATION,STATION_NAME
20130325 10:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130331 06:00,0.12,COOP:317069,RALEIGH AIRPORT NC US
20130331 07:00,0.12,COOP:317069,RALEIGH AIRPORT NC US
20130331 08:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130331 09:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130331 19:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130331 20:00,0.43,COOP:317069,RALEIGH AIRPORT NC US
20130331 21:00,0.09,COOP:317069,RALEIGH AIRPORT NC US
20130401 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130401 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130401 03:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130401 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130401 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130401 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130404 10:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130404 11:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130404 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130404 13:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130404 14:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130404 15:00,0.1,COOP:317069,RALEIGH AIRPORT NC US
20130404 16:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130404 17:00,0.07,COOP:317069,RALEIGH AIRPORT NC US
20130404 18:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130404 19:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130404 20:00,0.07,COOP:317069,RALEIGH AIRPORT NC US
20130404 21:00,0.18,COOP:317069,RALEIGH AIRPORT NC US
20130404 22:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130404 23:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130405 00:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130405 01:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130405 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130405 03:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130405 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130405 05:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130405 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130405 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130412 05:00,0.09,COOP:317069,RALEIGH AIRPORT NC US
20130412 06:00,0.15,COOP:317069,RALEIGH AIRPORT NC US
20130412 07:00,0.71,COOP:317069,RALEIGH AIRPORT NC US
20130412 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130412 12:00,0.09,COOP:317069,RALEIGH AIRPORT NC US
20130412 13:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130414 23:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130415 00:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130415 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130415 02:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130415 03:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130415 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130415 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130419 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130419 18:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130419 19:00,0.14,COOP:317069,RALEIGH AIRPORT NC US
20130419 20:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130419 21:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130419 22:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130419 23:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130420 00:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130420 01:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130420 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130420 03:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130422 21:00,0,COOP:317069,RALEIGH AIRPORT NC US
